genre_id,title
0,run-and-gun
1,God game
2,Grand strategy
3,platformer
4,adventure
5,Third-person shooter
6,Sim racing
7,Tactical shooter
8,Beat 'em up
9,Racing game
10,arcade
11,survival horror
12,RTS
13,Point-and-click
14,Fighting
15,Puzzle
16,Action role-playing game
17,Interactive fiction
18,Visual novel
19,MMORPG
20,Maze
21,Business simulation
22,City-building game
23,Grand Strategy
24,survival
25,First-person shooter
26,Simulation
27,Interactive movie
28,Life simulation
29,Compilation
30,Real-time strategy
31,City-building
32,Amateur flight simulation
33,Action role-playing
34,roguelike
35,Run and gun
36,Computer role-playing game
37,stealth
38,hack and slash
39,Metroidvania
40,Sandbox
41,role-playing game
42,puzzle
43,grand strategy wargame
44,Space combat simulation
45,Survival horror
46,Real-time tactics
47,Platform
48,Action
49,Action-adventure
50,Vehicle simulation
51,Adventure
52,Role-playing game
53,Turn-based strategy
54,Rail shooter
55,Trivia game
56,Battle royale
57,Graphic adventure
58,Survival
59,4X
60,Sports
61,Construction and management simulation
62,Educational
